features,cv_cappa_1,cv_cappa_2,cv_cappa_3,cv_cappa_4,cv_cappa_5,mean,std
event+cnt+perf+user+var+cat,0.6634096088802405,0.6601573278579956,0.6530466135706812,0.641570645007636,0.642437998677438,0.6521244387987982,0.00997424761981349
cnt+perf+var+user+cat,0.6614469826929532,0.6628290469786089,0.656141161088676,0.6380103832247469,0.6401213746967785,0.6517097897363527,0.011832719068914224
all-event,0.6614469826929532,0.6628290469786089,0.656141161088676,0.6380103832247469,0.6401213746967785,0.6517097897363527,0.011832719068914224
all,0.6591275153807048,0.6615822447223227,0.6504981626735088,0.6442408413448029,0.6390521636287818,0.6509001855500243,0.009574438043383945
event+cnt+pert+cat,0.654310160193727,0.6516078266720333,0.6426707777750509,0.6405025664727693,0.631567686152805,0.644131803453277,0.009119386900120922
cnt+perf+cat,0.6577001508808595,0.6528546289283195,0.6424887455681101,0.6321359512829798,0.6303202732401422,0.6430999499800822,0.012167812083185738
event+cnt+perf+user,0.5212084205831569,0.5128565470081856,0.5272623585745324,0.5247940585288724,0.5112814410031766,0.5194805651395848,0.007121766956054771
event+cnt+perf,0.5096110840219141,0.5048413896463458,0.51433807188173,0.513757247001916,0.49720349527455343,0.5079502575652919,0.007114098713970421
event+cnt+perf+var,0.5087189812095109,0.5037727019981005,0.5128818142262028,0.50752678888186,0.4927484491579005,0.5051297470947149,0.007646258327862717
cnt+perf+user,0.517461588771063,0.48257706364123554,0.5083586782095995,0.5166054564282273,0.4966688897405551,0.5043343353581361,0.0147583743934528
cnt+perf+var,0.5051505699598977,0.4726026455909461,0.4899457561516519,0.4996942129595039,0.4816999347886013,0.4898186238901202,0.013180620375105393
